id_film_actor,actor_id,film_id,last_update
1,1,1,2/15/2006 10:05
2,1,23,2/15/2006 10:05
3,1,25,2/15/2006 10:05
4,1,106,2/15/2006 10:05
5,1,140,2/15/2006 10:05
6,1,166,2/15/2006 10:05
7,1,277,2/15/2006 10:05
8,1,361,2/15/2006 10:05
9,1,438,2/15/2006 10:05
10,1,499,2/15/2006 10:05
11,1,506,2/15/2006 10:05
12,1,509,2/15/2006 10:05
13,1,605,2/15/2006 10:05
14,1,635,2/15/2006 10:05
15,1,749,2/15/2006 10:05
16,1,832,2/15/2006 10:05
17,1,939,2/15/2006 10:05
18,1,970,2/15/2006 10:05
19,1,980,2/15/2006 10:05
20,2,3,2/15/2006 10:05
21,2,31,2/15/2006 10:05
22,2,47,2/15/2006 10:05
23,2,105,2/15/2006 10:05
24,2,132,2/15/2006 10:05
25,2,145,2/15/2006 10:05
26,2,226,2/15/2006 10:05
27,2,249,2/15/2006 10:05
28,2,314,2/15/2006 10:05
29,2,321,2/15/2006 10:05
30,2,357,2/15/2006 10:05
31,2,369,2/15/2006 10:05
32,2,399,2/15/2006 10:05
33,2,458,2/15/2006 10:05
34,2,481,2/15/2006 10:05
35,2,485,2/15/2006 10:05
36,2,518,2/15/2006 10:05
37,2,540,2/15/2006 10:05
38,2,550,2/15/2006 10:05
39,2,555,2/15/2006 10:05
40,2,561,2/15/2006 10:05
41,2,742,2/15/2006 10:05
42,2,754,2/15/2006 10:05
43,2,811,2/15/2006 10:05
44,2,958,2/15/2006 10:05
45,3,17,2/15/2006 10:05
46,3,40,2/15/2006 10:05
47,3,42,2/15/2006 10:05
48,3,87,2/15/2006 10:05
49,3,111,2/15/2006 10:05
50,3,185,2/15/2006 10:05
51,3,289,2/15/2006 10:05
52,3,329,2/15/2006 10:05
53,3,336,2/15/2006 10:05
54,3,341,2/15/2006 10:05
55,3,393,2/15/2006 10:05
56,3,441,2/15/2006 10:05
57,3,453,2/15/2006 10:05
58,3,480,2/15/2006 10:05
59,3,539,2/15/2006 10:05
60,3,618,2/15/2006 10:05
61,3,685,2/15/2006 10:05
62,3,827,2/15/2006 10:05
63,3,966,2/15/2006 10:05
64,3,967,2/15/2006 10:05
65,3,971,2/15/2006 10:05
66,3,996,2/15/2006 10:05
67,4,23,2/15/2006 10:05
68,4,25,2/15/2006 10:05
69,4,56,2/15/2006 10:05
70,4,62,2/15/2006 10:05
71,4,79,2/15/2006 10:05
72,4,87,2/15/2006 10:05
73,4,355,2/15/2006 10:05
74,4,379,2/15/2006 10:05
75,4,398,2/15/2006 10:05
76,4,463,2/15/2006 10:05
77,4,490,2/15/2006 10:05
78,4,616,2/15/2006 10:05
79,4,635,2/15/2006 10:05
80,4,691,2/15/2006 10:05
81,4,712,2/15/2006 10:05
82,4,714,2/15/2006 10:05
83,4,721,2/15/2006 10:05
84,4,798,2/15/2006 10:05
85,4,832,2/15/2006 10:05
86,4,858,2/15/2006 10:05
87,4,909,2/15/2006 10:05
88,4,924,2/15/2006 10:05
89,5,19,2/15/2006 10:05
90,5,54,2/15/2006 10:05
91,5,85,2/15/2006 10:05
92,5,146,2/15/2006 10:05
93,5,171,2/15/2006 10:05
94,5,172,2/15/2006 10:05
95,5,202,2/15/2006 10:05
96,5,203,2/15/2006 10:05
97,5,286,2/15/2006 10:05
98,5,288,2/15/2006 10:05
99,5,316,2/15/2006 10:05
100,5,340,2/15/2006 10:05
101,5,369,2/15/2006 10:05
102,5,375,2/15/2006 10:05
103,5,383,2/15/2006 10:05
104,5,392,2/15/2006 10:05
105,5,411,2/15/2006 10:05
106,5,503,2/15/2006 10:05
107,5,535,2/15/2006 10:05
108,5,571,2/15/2006 10:05
109,5,650,2/15/2006 10:05
110,5,665,2/15/2006 10:05
111,5,687,2/15/2006 10:05
112,5,730,2/15/2006 10:05
113,5,732,2/15/2006 10:05
114,5,811,2/15/2006 10:05
115,5,817,2/15/2006 10:05
116,5,841,2/15/2006 10:05
117,5,865,2/15/2006 10:05
118,6,29,2/15/2006 10:05
119,6,53,2/15/2006 10:05
120,6,60,2/15/2006 10:05
121,6,70,2/15/2006 10:05
122,6,112,2/15/2006 10:05
123,6,164,2/15/2006 10:05
124,6,165,2/15/2006 10:05
125,6,193,2/15/2006 10:05
126,6,256,2/15/2006 10:05
127,6,451,2/15/2006 10:05
128,6,503,2/15/2006 10:05
129,6,509,2/15/2006 10:05
130,6,517,2/15/2006 10:05
131,6,519,2/15/2006 10:05
132,6,605,2/15/2006 10:05
133,6,692,2/15/2006 10:05
134,6,826,2/15/2006 10:05
135,6,892,2/15/2006 10:05
136,6,902,2/15/2006 10:05
137,6,994,2/15/2006 10:05
138,7,25,2/15/2006 10:05
139,7,27,2/15/2006 10:05
140,7,35,2/15/2006 10:05
141,7,67,2/15/2006 10:05
142,7,96,2/15/2006 10:05
143,7,170,2/15/2006 10:05
144,7,173,2/15/2006 10:05
145,7,217,2/15/2006 10:05
146,7,218,2/15/2006 10:05
147,7,225,2/15/2006 10:05
148,7,292,2/15/2006 10:05
149,7,351,2/15/2006 10:05
150,7,414,2/15/2006 10:05
151,7,463,2/15/2006 10:05
152,7,554,2/15/2006 10:05
153,7,618,2/15/2006 10:05
154,7,633,2/15/2006 10:05
155,7,637,2/15/2006 10:05
156,7,691,2/15/2006 10:05
157,7,758,2/15/2006 10:05
158,7,766,2/15/2006 10:05
159,7,770,2/15/2006 10:05
160,7,805,2/15/2006 10:05
161,7,806,2/15/2006 10:05
162,7,846,2/15/2006 10:05
163,7,900,2/15/2006 10:05
164,7,901,2/15/2006 10:05
165,7,910,2/15/2006 10:05
166,7,957,2/15/2006 10:05
167,7,959,2/15/2006 10:05
168,8,47,2/15/2006 10:05
169,8,115,2/15/2006 10:05
170,8,158,2/15/2006 10:05
171,8,179,2/15/2006 10:05
172,8,195,2/15/2006 10:05
173,8,205,2/15/2006 10:05
174,8,255,2/15/2006 10:05
175,8,263,2/15/2006 10:05
176,8,321,2/15/2006 10:05
177,8,396,2/15/2006 10:05
178,8,458,2/15/2006 10:05
179,8,523,2/15/2006 10:05
180,8,532,2/15/2006 10:05
181,8,554,2/15/2006 10:05
182,8,752,2/15/2006 10:05
183,8,769,2/15/2006 10:05
184,8,771,2/15/2006 10:05
185,8,859,2/15/2006 10:05
186,8,895,2/15/2006 10:05
187,8,936,2/15/2006 10:05
188,9,30,2/15/2006 10:05
189,9,74,2/15/2006 10:05
190,9,147,2/15/2006 10:05
191,9,148,2/15/2006 10:05
192,9,191,2/15/2006 10:05
193,9,200,2/15/2006 10:05
194,9,204,2/15/2006 10:05
195,9,434,2/15/2006 10:05
196,9,510,2/15/2006 10:05
197,9,514,2/15/2006 10:05
198,9,552,2/15/2006 10:05
199,9,650,2/15/2006 10:05
200,9,671,2/15/2006 10:05
201,9,697,2/15/2006 10:05
202,9,722,2/15/2006 10:05
203,9,752,2/15/2006 10:05
204,9,811,2/15/2006 10:05
205,9,815,2/15/2006 10:05
206,9,865,2/15/2006 10:05
207,9,873,2/15/2006 10:05
208,9,889,2/15/2006 10:05
209,9,903,2/15/2006 10:05
210,9,926,2/15/2006 10:05
211,9,964,2/15/2006 10:05
212,9,974,2/15/2006 10:05
213,10,1,2/15/2006 10:05
214,10,9,2/15/2006 10:05
215,10,191,2/15/2006 10:05
216,10,236,2/15/2006 10:05
217,10,251,2/15/2006 10:05
218,10,366,2/15/2006 10:05
219,10,477,2/15/2006 10:05
220,10,480,2/15/2006 10:05
221,10,522,2/15/2006 10:05
222,10,530,2/15/2006 10:05
223,10,587,2/15/2006 10:05
224,10,694,2/15/2006 10:05
225,10,703,2/15/2006 10:05
226,10,716,2/15/2006 10:05
227,10,782,2/15/2006 10:05
228,10,914,2/15/2006 10:05
229,10,929,2/15/2006 10:05
230,10,930,2/15/2006 10:05
231,10,964,2/15/2006 10:05
232,10,966,2/15/2006 10:05
233,10,980,2/15/2006 10:05
234,10,983,2/15/2006 10:05
235,11,118,2/15/2006 10:05
236,11,205,2/15/2006 10:05
237,11,281,2/15/2006 10:05
238,11,283,2/15/2006 10:05
239,11,348,2/15/2006 10:05
240,11,364,2/15/2006 10:05
241,11,395,2/15/2006 10:05
242,11,429,2/15/2006 10:05
243,11,433,2/15/2006 10:05
244,11,453,2/15/2006 10:05
245,11,485,2/15/2006 10:05
246,11,532,2/15/2006 10:05
247,11,567,2/15/2006 10:05
248,11,587,2/15/2006 10:05
249,11,597,2/15/2006 10:05
250,11,636,2/15/2006 10:05
251,11,709,2/15/2006 10:05
252,11,850,2/15/2006 10:05
253,11,854,2/15/2006 10:05
254,11,888,2/15/2006 10:05
255,11,896,2/15/2006 10:05
256,11,928,2/15/2006 10:05
257,11,938,2/15/2006 10:05
258,11,969,2/15/2006 10:05
259,11,988,2/15/2006 10:05
260,12,16,2/15/2006 10:05
261,12,17,2/15/2006 10:05
262,12,34,2/15/2006 10:05
263,12,37,2/15/2006 10:05
264,12,91,2/15/2006 10:05
265,12,92,2/15/2006 10:05
266,12,107,2/15/2006 10:05
267,12,155,2/15/2006 10:05
268,12,177,2/15/2006 10:05
269,12,208,2/15/2006 10:05
270,12,213,2/15/2006 10:05
271,12,216,2/15/2006 10:05
272,12,243,2/15/2006 10:05
273,12,344,2/15/2006 10:05
274,12,400,2/15/2006 10:05
275,12,416,2/15/2006 10:05
276,12,420,2/15/2006 10:05
277,12,457,2/15/2006 10:05
278,12,513,2/15/2006 10:05
279,12,540,2/15/2006 10:05
280,12,593,2/15/2006 10:05
281,12,631,2/15/2006 10:05
282,12,635,2/15/2006 10:05
283,12,672,2/15/2006 10:05
284,12,716,2/15/2006 10:05
285,12,728,2/15/2006 10:05
286,12,812,2/15/2006 10:05
287,12,838,2/15/2006 10:05
288,12,871,2/15/2006 10:05
289,12,880,2/15/2006 10:05
290,12,945,2/15/2006 10:05
291,13,17,2/15/2006 10:05
292,13,29,2/15/2006 10:05
293,13,45,2/15/2006 10:05
294,13,87,2/15/2006 10:05
295,13,110,2/15/2006 10:05
296,13,144,2/15/2006 10:05
297,13,154,2/15/2006 10:05
298,13,162,2/15/2006 10:05
299,13,203,2/15/2006 10:05
300,13,254,2/15/2006 10:05
301,13,337,2/15/2006 10:05
302,13,346,2/15/2006 10:05
303,13,381,2/15/2006 10:05
304,13,385,2/15/2006 10:05
305,13,427,2/15/2006 10:05
306,13,456,2/15/2006 10:05
307,13,513,2/15/2006 10:05
308,13,515,2/15/2006 10:05
309,13,522,2/15/2006 10:05
310,13,524,2/15/2006 10:05
311,13,528,2/15/2006 10:05
312,13,571,2/15/2006 10:05
313,13,588,2/15/2006 10:05
314,13,597,2/15/2006 10:05
315,13,600,2/15/2006 10:05
316,13,718,2/15/2006 10:05
317,13,729,2/15/2006 10:05
318,13,816,2/15/2006 10:05
319,13,817,2/15/2006 10:05
320,13,832,2/15/2006 10:05
321,13,833,2/15/2006 10:05
322,13,843,2/15/2006 10:05
323,13,897,2/15/2006 10:05
324,13,966,2/15/2006 10:05
325,13,998,2/15/2006 10:05
326,14,154,2/15/2006 10:05
327,14,187,2/15/2006 10:05
328,14,232,2/15/2006 10:05
329,14,241,2/15/2006 10:05
330,14,253,2/15/2006 10:05
331,14,255,2/15/2006 10:05
332,14,258,2/15/2006 10:05
333,14,284,2/15/2006 10:05
334,14,292,2/15/2006 10:05
335,14,370,2/15/2006 10:05
336,14,415,2/15/2006 10:05
337,14,417,2/15/2006 10:05
338,14,418,2/15/2006 10:05
339,14,454,2/15/2006 10:05
340,14,472,2/15/2006 10:05
341,14,475,2/15/2006 10:05
342,14,495,2/15/2006 10:05
343,14,536,2/15/2006 10:05
344,14,537,2/15/2006 10:05
345,14,612,2/15/2006 10:05
346,14,688,2/15/2006 10:05
347,14,759,2/15/2006 10:05
348,14,764,2/15/2006 10:05
349,14,847,2/15/2006 10:05
350,14,856,2/15/2006 10:05
351,14,890,2/15/2006 10:05
352,14,908,2/15/2006 10:05
353,14,919,2/15/2006 10:05
354,14,948,2/15/2006 10:05
355,14,970,2/15/2006 10:05
356,15,31,2/15/2006 10:05
357,15,89,2/15/2006 10:05
358,15,91,2/15/2006 10:05
359,15,108,2/15/2006 10:05
360,15,125,2/15/2006 10:05
361,15,236,2/15/2006 10:05
362,15,275,2/15/2006 10:05
363,15,280,2/15/2006 10:05
364,15,326,2/15/2006 10:05
365,15,342,2/15/2006 10:05
366,15,414,2/15/2006 10:05
367,15,445,2/15/2006 10:05
368,15,500,2/15/2006 10:05
369,15,502,2/15/2006 10:05
370,15,541,2/15/2006 10:05
371,15,553,2/15/2006 10:05
372,15,594,2/15/2006 10:05
373,15,626,2/15/2006 10:05
374,15,635,2/15/2006 10:05
375,15,745,2/15/2006 10:05
376,15,783,2/15/2006 10:05
377,15,795,2/15/2006 10:05
378,15,817,2/15/2006 10:05
379,15,886,2/15/2006 10:05
380,15,924,2/15/2006 10:05
381,15,949,2/15/2006 10:05
382,15,968,2/15/2006 10:05
383,15,985,2/15/2006 10:05
384,16,80,2/15/2006 10:05
385,16,87,2/15/2006 10:05
386,16,101,2/15/2006 10:05
387,16,121,2/15/2006 10:05
388,16,155,2/15/2006 10:05
389,16,177,2/15/2006 10:05
390,16,218,2/15/2006 10:05
